channel_title,category_name,total_videos,avg_views,avg_engagement,total_views,percentage
A.J. & Big Justice,People & Blogs,3,8681256.0,1.48,26043768,100.0
A2 Motivation by Arvind Arora,Entertainment,2,273867.0,8.88,547734,100.0
A24,Film & Animation,1,1795180.0,6.51,1795180,100.0
A24com,People & Blogs,1,382287.0,0.77,382287,100.0
A7 EDITZ,Entertainment,2,1934410.0,4.42,3868820,100.0
AANBA shorts,Sports,1,1891445.0,2.89,1891445,100.0
ABC News,News & Politics,4,1340976.75,1.36,5363907,100.0
ABC News Live,Entertainment,1,0.0,0.0,0,100.0
ABC movies,Pets & Animals,1,163790.0,2.96,163790,100.0
ABC7,People & Blogs,1,68318.0,0.43,68318,100.0
ABCD1234,Entertainment,1,9288592.0,1.0,9288592,100.0
ABCTUTORIAL,Education,2,1081006.0,5.47,2162012,100.0
ABCテレビニュース,News & Politics,1,19594.0,1.48,19594,100.0
ABEMA Prime #アベプラ【公式】,News & Politics,1,614569.0,0.97,614569,100.0
ABEMA チャンスの時間 【公式】,Comedy,1,650945.0,1.0,650945,100.0
ABEMA 今日、好きになりました。【公式】,Entertainment,1,558701.0,4.43,558701,100.0
ABEMAニュース【公式】,News & Politics,1,250630.0,0.88,250630,100.0
ABN Telugu ,News & Politics,2,127803.5,2.5,255607,100.0
ABP ANANDA,News & Politics,2,898507.0,1.68,1797014,100.0
ABP Nadu,News & Politics,2,536574.0,1.06,1073148,100.0
ABS-CBN News,News & Politics,1,464471.0,0.58,464471,100.0
ABS秋田放送,News & Politics,1,393105.0,2.33,393105,100.0
ABxCreative ♡,Film & Animation,2,1734278.0,9.08,3468556,100.0
ACF,Autos & Vehicles,1,1015303.0,3.04,1015303,100.0
ACG,Gaming,3,131479.0,7.61,394437,100.0
AD,People & Blogs,1,1619637.0,2.66,1619637,100.0
AD0LFzZ,Gaming,1,33164.0,8.68,33164,100.0
ADMINO Gaming,Gaming,158,340121.44,8.91,53739188,53.56
ADMINO Gaming,People & Blogs,137,43274.61,5.57,5928621,46.44
ADN Chile,Entertainment,1,127480.0,2.61,127480,100.0
AE EDIX ,People & Blogs,2,1124464.0,4.68,2248928,100.0
AFTER FOOT,Entertainment,1,51156.0,1.54,51156,100.0
AFTV,Sports,2,358806.5,3.3,717613,100.0
AFaGP,Science & Technology,1,55507.0,8.26,55507,100.0
AGFAMILY 🎥,People & Blogs,1,215482.0,4.74,215482,100.0
AI Explained,Science & Technology,2,99534.0,3.91,199068,100.0
AI News & Strategy Daily | Nate B Jones,Entertainment,3,152620.67,4.2,457862,100.0
AI SLOP,Entertainment,4,2681720.75,0.01,10726883,100.0
AI TV,People & Blogs,1,152885.0,1.15,152885,100.0
AIDARTT,People & Blogs,1,1375135.0,0.59,1375135,100.0
AINA Entertainment,Entertainment,245,2218589.9,0.52,543554526,94.59
AINA Entertainment,Music,14,260742.57,0.79,3650396,5.41
AION2,Gaming,1,177836.0,1.59,177836,100.0
AIRAN,News & Politics,1,101486.0,2.5,101486,100.0
AIRIZU MOTORS,Autos & Vehicles,1,276193.0,5.37,276193,100.0
AISpiderVenom,Gaming,4,7513864.75,0.84,30055459,100.0
AIで時短ペラペラ英語 | 超進学校教師みなと,Education,1,172171.0,4.48,172171,100.0
AI仙人 【AI歴10年・ガチADHD男】,Howto & Style,1,25867.0,1.76,25867,100.0
AI笑話,Sports,1,1331544.0,4.85,1331544,100.0
AI遣ひ,Pets & Animals,1,69072.0,3.52,69072,100.0
AJ+ français,Entertainment,1,90257.0,3.84,90257,100.0
AJ+ كبريت,Entertainment,1,548982.0,2.86,548982,100.0
AJAY USA 2,Gaming,6,22085288.0,3.05,132511728,100.0
AKB48,Entertainment,500,404691.22,2.27,202345608,100.0
AKEKA,Comedy,1,983099.0,2.67,983099,100.0
AKELA Gaming,Gaming,1,333294.0,1.04,333294,100.0
AKRAMJUNIOR DAILY,Autos & Vehicles,1,79767.0,4.64,79767,100.0
AL3XEY,Gaming,2,82832.5,3.13,165665,100.0
ALADDIN ,Sports,1,1828755.0,6.21,1828755,100.0
ALBUM CREATIONS,Entertainment,2,8623419.0,0.02,17246838,100.0
ALEC GO! #games,Gaming,1,21086.0,21.04,21086,100.0
ALEKSANDR SHARK,People & Blogs,1,170256.0,0.84,170256,100.0
ALENA LUBIMOVA,Comedy,1,411993.0,8.47,411993,100.0
ALERTA NOTÍCIA ,People & Blogs,1,116396.0,3.14,116396,100.0
ALESSIO,Gaming,1,114586.0,4.91,114586,100.0
ALEX,Entertainment,3,9039721.33,1.51,27119164,100.0
ALKA,Autos & Vehicles,1,163946.0,5.44,163946,100.0
ALLOFFIGHT,People & Blogs,1,510413.0,3.9,510413,100.0
ALTN Media,News & Politics,1,424405.0,1.74,424405,100.0
AM Noticias,News & Politics,2,413875.0,2.33,827750,100.0
AMAZOZLA,Gaming,1,66288.0,2.91,66288,100.0
AMBIA REACTS,Entertainment,1,4023297.0,0.89,4023297,100.0
AMC,Entertainment,1,0.0,0.0,0,100.0
AMO FUNK,Music,1,35595.0,0.35,35595,100.0
ANADHIKA GAMING,Gaming,1,109245.0,1.58,109245,100.0
ANC 24/7,News & Politics,1,324117.0,3.39,324117,100.0
ANCAPSU,News & Politics,1,154550.0,16.17,154550,100.0
ANDRES EL CURIOSO ,Entertainment,1,1491331.0,2.83,1491331,100.0
ANDRÉ CORRETOR EM ITAPEMA E BALNEÁRIO CAMBORIÚ SC,Entertainment,1,3617054.0,2.22,3617054,100.0
ANDY,Entertainment,1,11836470.0,3.56,11836470,100.0
ANI Bharat,News & Politics,1,223775.0,11.04,223775,100.0
ANI News,News & Politics,2,597378.5,2.95,1194757,100.0
ANIMALANDIA,Pets & Animals,1,2942844.0,4.3,2942844,100.0
ANKAT,Entertainment,1,27004.0,3.0,27004,100.0
ANNnewsCH,News & Politics,1,1052732.0,0.43,1052732,100.0
ANTI BCSC,Autos & Vehicles,1,119017.0,1.34,119017,100.0
ANYME FAN ,Gaming,1,653071.0,4.0,653071,100.0
ANYYYYY,People & Blogs,3,2067086.0,5.17,6201258,100.0
